SentimentValue,SerialNumber,Tweet
0,778,I think stock is not enough more books are required. 
4,779,good
4,780,very cooperative 
4,781,Nice
4,782,Good
4,783,Satisfactory
4,784,Fine 
4,785,Fine
4,786,library facilities provided are excellent
4,787,good facilities
2,788,average
4,789,better
4,790,excellent
4,791,good
4,792,good
0,793,some books are not available. So please provide
4,794,there are doing there job good
4,795,all are hardworking and punctual
4,796,Excellent
4,797,library is awesome and rich
4,798,they are good
4,799,library facility is good
4,800,library facilities are good for students.
4,801,very good library facilities. Issuing time of book must be increased
4,802,good
0,803,more books should be provided and the issue period should be increased
4,804,very good library facilities. Issuing time of book must be increased
2,805,never went there
4,806,they are good
0,807,book issuing time should be increased for 2 weeks
4,808,good
4,809,excellent
2,810,Really our library provides very good facilites for students and teachers but fine  system was not good it was directly increased upto 10.This is not a good thing.
4,811,Its good and proper design
4,812,Good
4,813,Excellent
4,814,good
2,815,average
4,816,average
4,817,library contains all the books regarding courses and other materials and very cooperative library staff
4,818,all the books are easily available and accessable and the limit of book issued need to be increased
4,819,all are good
4,820,good
4,821,library facilities are good . Every book is available in the library
4,822,good
4,823,very good library facilities. Issuing time of book must be increased
0,824,"as per libraries, few books are not available and in computer library there are hardly 5 PCs working"
4,825,good
4,826,Excellent
0,827,books are less
4,828,good
4,829,Excellent
4,830,excellent
4,831,Good
4,832,Good
4,833,good.
4,834,i love it
0,835,i think library facilities are only for hostelers 
0,836,Capacity of library is less compared to size of university.
4,837,library has providing excellent facilities
4,838,It will provide us various books to increase our knowledge or to understand the  concept because it is good
4,839,good
4,840,good
4,841,Good
4,842,Good
0,843,duration of issuing   books from library should be changed from 1week to 2 week that would be great.
0,844,absolutely fine all books are there but the thing is that the time limit is very less we have to return the book that we have issued  very fast
2,845,i dont think about 
4,846,very good
4,847,very good.
4,848,good
4,849,very good
4,850,good
4,851,good
4,852,good
4,853,It is excellent.
4,854,GOOD
4,855,good 
0,856,library facilities need to be improve by bringing some more books
4,857,EXELLENT
4,858,excellent
4,859,good 
4,860,Library facilities are the strength of this university. It is awesome.
4,861,good
2,862,Almost each and every books is there.But the time limit for keeping book is too much shorted. 
0,863,"waste ,library is not the good place to study"
4,864,good
4,865,Good
2,866,It's good but we don't find the books because their are much less number of books
4,867,perfect
4,868,They are good.
4,869,excellent
4,870,it is very nice and timings of library is good 5/5
4,871,excellent
2,872,"good but there is more need of keeping books of general topics about social,polity,gk,...etc other than related to subject so that we will get some knowledge about country related issues.............."
4,873,Good
4,874,good
2,875,Books are heavily outnumbered when compared to number of students this is the only problem with library.
4,876,good
0,877,Insufficient books 
4,878,"I have no words to say about our library facilities,,,,,,,, SIMPLY AWESOME"
4,879,good but timings should be 24hrs
0,880,insufficient books
2,881,"Library facility is very good but there is a problem collection of books, Available books are very less for some subjects  
"
4,882,good
4,883,good enough.
4,884,good
0,885,rough handling
0,886,books are not available
4,887,librery facilities are excellent
0,888,Very rough handling
4,889,good
4,890,library facilites are good
2,891,yeah quite well but ... some of the books are not available
4,892,library facilities is good
4,893,good
4,894,library facilty is good
4,895,super
4,896,"Library facilities are good, it maintains silence there and makes good environment to study but sometimes it goes very strict which is not required according to me."
2,897,uncertain
4,898,I like reading books in Library
4,899,i felt its better because there is no problem from library facilities
2,900,Average
2,901,Excellent     but sometimes lack of books especially during exam times
2,902,libary is giving a lot to us  but we are not getting it
4,903,excellent
2,904,"i've never went to library in lpu.so,i don't know about that."
2,905,I don't know abt that bcoz i didn't go to library till now.
4,906,facilities are good to overcome one's need
4,907,good
0,908,Required text books are not available to every student
4,909,Its good
2,910,library facilities are excellent...but only limited books are available ..so books should be increased.
4,911,good 
0,912,The library has insufficent number of books for all the students
4,913,very good there we can find several course books and we can find several reference books also...
2,914,"Library is vast and has got wide variety of books But I think more number of specimen copies of books should be made available
"
4,915,good
4,916,fine  
4,917,good
2,918,VERY NICE....BUT BOOKS ARE NOT AVAILABE EVERY TIME
4,919,They are good.
4,920,IT IS ALSO GOOD
4,921,good 
0,922,library facilities are not good.They are not following the rules( they are using phones in library).
4,923,They are good
4,924,We have a good library with all facalities.
0,925,"THEY IS NO PROBLEM WITH THEM
"
4,926,extracurricular activities are excellent and provides best platform to students.
4,927,Good 
4,928,Extra curricular activities also help students to divert their mind from their study for some time. University plays an important role in this task.
0,929,Complete wastage of time. Again this opinion is strictly personal and may not coincide with others.
4,930,extracurricular activities increases mental and physical abilities
4,931,Yes
2,932,No views
2,933,No idea about the extracurricular activities. 
4,934,Good it provides a great platform
4,935,Good it provides a great platform
4,936,While coming to extracurriculum activities it's better than any other university which I had come around.
4,937,Awesome
4,938,ok
4,939,This university is no1 in terms of extracurricular activities and in encouraging students to participate at their comfort levels. 
4,940,Good
4,941,Good
4,942,Great job
4,943,excellent
4,944,Its give various opportunities and exposure
2,945,This is really a good thing that events happen in our university regularly but they must be announced early so that every student can prepare themselves for participation because sometimes we get to know about most of the events when they have already been conducted. So announcement must be there.
4,946,Good.
4,947,Good
4,948,Good
4,949,extracurricular activities held in university are necessary it provides student a platform where they can improve and groom them.
4,950,Good it provides a great platform
4,951,Good
4,952,They are really very intersting. All the students enjoys alot and get a chance to showcase there talent
4,953,Good
4,954,Awesome
4,955,its good for refreshment 
4,956,"It's appreciable
Students who are having interest in co curricular activities, getting a good platform"
4,957,All good
2,958,Good but lacks audience.....as only participants can see these activities on duty leave basis
4,959,Perfect
4,960,All the activities are gud and appropriate for students
4,961,very good
2,962,"Thats good but the problm is whenever in university the functions like one india, one world are held we are not alowed to go because we have to attend the classes and if we miss the classes we will gona loose the attendence and everyone knows in lpu attendnce is very important."
0,963,Chance to go and enjoy should be given.I think it should be off when any activity like One India is there to go and enjoy.Otherwise everything is good. 
4,964,very good
0,965,extracurricular activies should be held when there are no classes for the students to attend so that every student can enjoy and participate in the events
4,966,Good
4,967,Good
4,968,Good
4,969,Good
4,970,Good
4,971,they are amazing and help to boost our stamina.
4,972,increasing confidence
2,973,average
4,974,best
4,975,good
4,976,good
4,977,good
4,978,ok
4,979,good
2,980,average
4,981,extracurricular activities are good.
2,982,"good it is, but teachers do not consider the new ones."
4,983,it is good
4,984,extracurrcular activities held in university is good.
4,985,"super, the extracurricular activities held in university. So that student can show the efforts in other fields."
4,986,good and ample number of extracurricular activities take place
4,987,good
2,988,they are good but they should give exposure to more students and not the same.
4,989,excellent
2,990,I donot participate
2,991,I donot participate
4,992,all are enough
4,993,all activities are good
4,994,good
4,995,More than best
4,996,Its upto mark and very efficiently held in our university
4,997,Good
4,998,provides good platform to interested students
0,999,no comments. Because when you participiate you get reappear or backlog and no time is given for exam preparation
0,1000,"the activities are very good but no time is given to students for participation, so its of no use"
2,1001,average
4,1002,lot of activities and students get exposure in games.
4,1003,too many activities are conducted and student get ample amount of opportunities to participate
4,1004,they are going excellent
4,1005,good
4,1006,good
4,1007,good
4,1008,excellent
2,1009,not much interested
4,1010,very good
4,1011,Excellent
0,1012,bcoz of lectures..we don't get time to participate..
4,1013,good
2,1014,Average
4,1015,good
4,1016,Good
4,1017,Good
4,1018,good.
4,1019,very good
0,1020,"i also want to participate in that activities but i can't take part in those activities because I'm a day scholar 
"
4,1021,Extracurricular activities are good and provide a  good platform.
4,1022,good
4,1023,It is good 
4,1024,good
4,1025,good
4,1026,Good
4,1027,Excellent
4,1028,that's  great
4,1029,best
2,1030,hahahah
4,1031,very good it is a good oppurtunities to many students
4,1032,there are many oppertunities for students .. its all upon students about how they utilize them.
4,1033,excellent
4,1034,excellent
4,1035,good
4,1036,"good
"
2,1037,average
4,1038,It is excellent.
2,1039,Poor
4,1040,some of the universities not conducted any extracurricular activities but in our university doing these it is good for our feature 
4,1041,good
4,1042,IT IS VERY MUCH USEFUL AND WE CAN PARTICIPATE IN OUR INTERESTS
4,1043,very good
4,1044,excelent
4,1045,Quite a lot of events are organized and students have a all round growth which is a nice thing.
4,1046,very good
0,1047,Activities are not up to the mark as  advertisement.
4,1048,very well
4,1049,"good
"
4,1050,Excellent 
2,1051,It's good but we don't get sufficient time for participating in that activities
4,1052,unbiased
4,1053,LPU gives the best opportunity for the students to show their talent.
4,1054,these are very usefull to students .excellent
2,1055,"there are lot of extracurricular activites held in university but so many of them are unknown to us ,the problem is there is no such ad's viewed to us
my rating is 3/5"
4,1056,these are very use full to the sudents forphysical activity and improvement of knowledge
4,1057,good
0,1058,Sometimes study burden is that much that we can not participate in these activities ...there should b one activity complusory for every student like all other courses 
4,1059,excellent
4,1060,it helps in building up university's reputation.
4,1061,good
4,1062,It was quite great and unique.
4,1063,EXTRAORDINARY
4,1064,they are good
4,1065,it was quite great and unique
4,1066,Very good
4,1067,good
4,1068,"it is relly awesome,extirdinary and marvellous but no time to attend"
4,1069,good
4,1070,good
4,1071,good
4,1072,nice
4,1073,good
4,1074,that is only good in this university
4,1075,good
4,1076,excellent..... u r the best in providing facilties and etc .. for extra curricular activities
4,1077,extracurricular activities are also good
4,1078,excellent
4,1079,university offers alkot of activities which is excellent on their part as students are able to explore themselves
4,1080,super
4,1081,Extracurricular activities are good. It helps people to know their talent and build up their skills.
4,1082,good
4,1083,I am really enjoying 
4,1084,i felt happy because it encourages our talents
4,1085,Excellent
4,1086,Outstanding
4,1087,better
4,1088,excellent  simply superb
0,1089,"before coming to lpu i thought sports were very good n encouraging.but, there are many politics in sports especially in cricket."
0,1090,not every one is getting opportunities here only recommended students getting.
4,1091,it seems to me very good since it is a good source of interaction with other and to built a leadership quilities and to overcome our faults.
4,1092,They are sportive
4,1093,One of the best things I like about this university. The best of all.
4,1094,They are extraordinary
4,1095,extra curricular are so good. university is providing many pathways to many students....apart from education
4,1096,good
4,1097,good they are knowledgebale and helps us interacting with other students
4,1098,in this university there is lot of events and lot of extra curriclar activities.... 
4,1099,Excellent
4,1100,The best
4,1101,good..
4,1102,excllent
0,1103,VERY HIGH......NEED TO TAKE DOWN SOME ACCITIVTIES ................................NOISE POLLITION IN THE UNIVERSITY  ALWAYS A BIG PROBLEM.
4,1104,Yes.
4,1105,VERY GOOD
4,1106,they all are held in super
4,1107,good
4,1108,the extracurricular activities held in university  are very enjoyable and good
4,1109,Our university has lot of extracurricular going on and it helps us a lot.
4,1110,IT IS THE BEST THING IN THIS UNIVERSITY I LIKE IT
